Text;Difficulty
Nous les mangeons ensemble le samedi soir.;A1
Ma sœur habite également dans la même ville que nous.;A1
Elle a trois enfants, deux garçons et une fille.;A1
Ils aiment venir passer le week-end à la maison, ainsi mes enfants jouent avec leurs cousins dans le jardin.;A1
J'habite une belle ville dans le nord de la France.;A1
Il y a un quartier très agréable pour aller se balader, lorsqu'il fait beau.;A1
Il est possible de faire du vélo dans un parc autour d'une citadelle fortifiée.;A1
Dans le centre de la ville, il y a un très joli quartier, plein de magasins chics et de bons restaurants.;A1
Pour se déplacer, il y a des bus, des vélos et un métro.;A1
Il est agréable de marcher dans les petites rues pour admirer l'architecture des maisons anciennes.;A1
Je suis en vacances !;A1
J’en profite pour faire une grasse-matinée et je sors de mon lit à dix heures.;A1
Je prends mon petit-déjeuner dans la cuisine.;A1
Je mange deux tartines de pain, un grand bol de café et un yaourt aux fruits rouges.;A1
J’enfile une jolie robe et je pars rejoindre mes amis au centre commercial.;A1
J’achète un livre, un pantalon et une nouvelle lampe pour ma chambre.;A1
Il est l’heure de déjeuner !;A1
Nous allons au restaurant.;A1
Je commande du poisson avec de la purée.;A1
Cet après-midi, mes amis et moi allons au cinéma.;A1
J’ai passé une très bonne journée de vacances.;A1
Vivement demain !;A1
Tu es ridicule.;A1
Je mange une pomme.;A1
La balle est partie.;A1
J'aime les pommes de terre.;A1
J'ouvre la porte.;A1
Je conduis la voiture.;A1
Tu bois du vin.;A1
Il joue aux cartes.;A1
Le chat et la souris.;A1
Vous allez au restaurant.;A1
Nous sommes en retard.;A1
Je veux un chien !;A1
Elle écrit une lettre.;A1
Vous regardez la télévision.;A1
Il joue toujours aux jeux-vidéos.;A1
Elle porte des lunettes.;A1
Ils boivent de l'eau avec des glaçons.;A1
Elles aiment les surprises.;A1
Nous écoutons de la musique.;A1
Tu gagnes de l'argent.;A1
J'ai faim !;A1
Tu ne comprends pas.;A1
Mange tes légumes !;A1
Range ta chambre !;A1
Brosse-toi les dents!;A1
Le chat miaule.;A1
Le chien est le meilleur ami de l'homme.;A1
Il pleut beaucoup dehors.;A1
Il est important de boire du café.;A1
Il faut manger cinq fruits et légumes par jour.;A1
J'ai rendez vous chez le coiffeur.;A1
Pour se rendre au collège, Pierre prend le métro à la station Ecole Militaire et sort au collège Claude Debussy.;A2
Tous les quatre en profitent pour visiter les musées parisiens, aller au cinéma, faire du shopping, ou se balader dans l'un des nombreux parcs de la capitale.;A2
Les vacances sont les moments préférés de Pierre car il a pour habitude d'aller chez ses grands-parents qui vivent dans une ferme de la campagne normande.;A2
Toute la petite famille apprécie alors l'air pur, la nature et le calme pendant quelques semaines avant de rentrer à Paris.;A2
Mes parents souhaitent louer des vélos pour visiter Barcelone.;A2
Nous séjournons pendant deux semaines à Barcelone.;A2
C’est la saison la plus chaude, pendant laquelle on recommence à mettre ses lunettes de soleil et à aller se promener sur la plage.;A2
Le dimanche, nous aimons nous promener en famille dans la forêt proche de notre maison et faire des jeux.;A2
Les parents de mon mari habitent très loin de chez nous, mais mes parents ont une maison à quelques kilomètres de la nôtre.;A2
Il y a 5 ans, ma famille et moi avons déménagé dans le sud de la France.;A2
Toute la petite famille habite dans un grand appartement au 3ème étage d'un immeuble situé près de la Tour Eiffel.;A2
Ainsi, Pierre a le privilège d'admirer chaque jour l'un des monuments les plus visités au monde !;A2
J’ai déjà pris l’avion car nous sommes allés à Rome en Italie, il y a deux ans.;A2
A Barcelone, mes parents ont réservé un appartement près de la plage.;A2
Ils veulent admirer la célèbre Sagrada Familia, se balader dans le Parc Güell et goûter la nourriture locale.;A2
Durant cette saison, les feuilles des arbres tombent et couvrent le sol d’un tapis brun, rouge et jaune.;A2
L’automne est aussi la saison des récoltes : on ramasse le maïs, le tournesol, les pommes, le raisin…;A2
Elles m’ont promis de me faire découvrir tout Londres : nous visiterons les musées, les monuments et les parcs.;A2
Nous irons aussi nous amuser à Camden Town et voir des concerts.;A2
Et bien sûr, nous irons faire du shopping à Oxford Street et dans le quartier de Covent Garden.;A2
J’ai hâte que tu viennes me rendre visite le mois prochain, pour te montrer mes endroits préférés !;A2
C'est pratique pour aller d'un centre commercial à un autre, pour aller à l'école, à la piscine, au stade ou encore au théâtre, parce que la ville est très grande.;A2
Je vais ensuite prendre ma douche dans ma salle-de-bain.;A2
Après avoir bu une tasse de thé dans un café, je rentre chez moi en bus.;A2
Et rejoignez-moi.;A2
Vous dormez, Robert ?;A2
Qu'est-ce que vous voulez ?;A2
J'aime les panoramas.;A2
Le lundi, David reste toute la journée à l’école.;A2
Souvent, le soir, il pratique une activité musicale : le piano.;A2
Il y a des régions où les enfants ne vont pas à l’école le mercredi.;A2
Le mercredi après-midi, il se détend et va jouer au football dans son club.;A2
Le dimanche, il se repose et en profite pour faire ses devoirs pour la semaine.;A2
Cher Lucas, Je t'écris de chez mes grands-parents à l'Aigle en Normandie où je passe de super vacances depuis maintenant une semaine.;A2
Mes grands-parents possèdent 11 poules, 1 coq, 2 cochons, 5 canards, 2 chiens, 3 chats et 1 poney.;A2
Nous avons beaucoup de chance de pouvoir manger des légumes frais du jardin tous les jours.;A2
J'espère que tu passes de bonnes vacances à Limoges. ;A2
Je te dis à très bientôt pour une rentrée des classes en pleine forme !;A2
Il doit se dépêcher pour ne pas être en retard à l’école.;A2
Tous les matins, il suit la même routine : il commence par se laver le visage avant de prendre une douche.;A2
Théo vérifie qu’il a bien fait son lit avant de s’habiller et de partir à l’école.;A2
Il doit étudier et écrire pendant quatre heures le matin et il ne peut se reposer que vingt minutes au moment de la récréation, à dix heures du matin.;A2
La cloche de l’école sonne à quatorze heures pour que tout le monde retourne en classe jusqu’à dix-sept heures.;A2
En été comme en hiver, les gens se bousculent dans ces endroits fantastiques remplis de boutiques variées et d'animations diverses.;A2
En effet, même si vous ne souhaitez pas acheter quelque chose, il est toujours intéressant de passer du temps dans les centres commerciaux.;A2
Le centre commercial est l'endroit idéal pour passer un bon moment avec sa famille, ses amis ou ses collègues de travail.;A2
Clément et Manon ont très faim et la pendule du salon sonne midi.;A2
Ils décident d’aller au marché pour acheter les ingrédients qu’ils vont cuisiner.;A2
Ils vont cuisiner une quiche lorraine pour le repas.;A2
Mais le marché est loin de leur maison et ils ne peuvent pas y aller à pied.;A2
Ils prennent donc leur voiture rouge et conduisent jusqu’à la place du village.;A2
Ils mettent tous leurs achats dans un grand sac puis, ils rentrent dans leur maison.;A2
En France, il y a au total 11 fêtes pendant l’année.;A2
Ce sont des jours fériés, c’est-à-dire des jours pendant lesquels on ne travaille pas.;A2
Certaines fêtes sont civiles et d’autre sont d’origine religieuses.;A2
Des feux d’artifices et des défilés militaires sont organisés.;A2
Les familles se réunissent et partagent un bon repas le soir du 24 décembre, et on s’offre des cadeaux.;A2
À cette occasion, les parents cachent des oeufs en chocolat dans la maison et le jardin, et les enfants s'amusent à les chercher.;A2
Noël a lieu le 25 décembre.;A2
Je m'appelle Camille et quand j'étais enfant, j'avais des rêves plein la tête.;A2
Je voulais être professeur et enseigner les mathématiques.;A2
Pour moi, les médecins et les infirmières sont des héros sans costume.;A2
Il pensait qu'un chef pouvait manger des pizzas et des frites tous les jours.;A2
Puis, plus grand, je découvrais les métiers de policier et d'avocat dans un film.;A2
Je me disais alors que je voulais aussi combattre pour la justice.;A2
Je voulais poursuivre les criminels et défendre les gentils.;A2
Mais le monde ne fonctionne pas toujours ainsi.;A2
Adolescent, je voulais devenir pompier.;A2
Mes parents m’encourageaient à devenir sapeur-pompier volontaire pour voir si cette carrière était réellement pour moi.;A2
J'étais donc lycéen et pompier à la fois.;A2
Mais ma plus grande passion, c'est l'art.;A2
Je peins des tableaux dans mon studio.;A2
Mon ami Thomas, lui, est dentiste.;A2
Pourtant, quand on était petits, il détestait aller chez le dentiste.;A2
Il pleurait à chaque fois.;A2
Depuis un an, mon mari Cédric, nos trois enfants et moi allons au marché tous ensemble le dimanche matin.;A2
C'est notre petite tradition à nous cinq.;A2
La semaine, je me lève à six heures du matin et mon mari à huit heures.;A2
Notre garçon de sept ans, et nos jumelles de quatre ans se lèvent quand ils veulent, mais pas plus tard que dix heures.;A2
Nous aimons prendre le petit-déjeuner en famille et vers onze heures, nous nous rendons au marché.;A2
Nos filles aiment bien nous aider à choisir les fruits et légumes.;A2
Nous avons l'habitude d'acheter quinze pommes.;A2
Nous prenons également treize ou quatorze carottes.;A2
Au moment de payer, notre petit garçon est toujours volontaire.;A2
Il préfère quand les sommes ne sont pas arrondies.;A2
Aujourd’hui, je vais te présenter ma famille.;A2
Je m’appelle Laurent et j’habite à Paris avec mes parents, ma sœur ainée et mon frère.;A2
Je vais à l’école pendant la journée.;A2
Ma mère Gertrude tient une mercerie.;A2
Pendant les grandes vacances, nous allons à la campagne chez mes grands-parents.;A2
Mon grand-père nous adore et nous offre de nombreux cadeaux.;A2
Parfois, ma grand-mère Marie l’invite à la maison pour le déjeuner.;A2
Nous passons de bons moments à jouer ensemble dans le jardin.;A2
Ma sœur ainée a 14 ans.;A2
Elle joue du violon comme un grand artiste.;A2
Mon frère Patrice est plus jeune que moi.;A2
Il sait écrire son nom.;A2
Chaque soir, j’accompagne ma mère en vélo pour faire une promenade dans le parc avec notre chien Snowy.;A2
Mon deuxième oncle Louis dit qu’il a des neveux adorables.;A2
J’aime beaucoup toute ma famille.;A2
Je viens d’emménager dans ma nouvelle maison.;A2
Ma nouvelle maison est blanche avec des volets bleus et des fleurs rouges.;A2
J’ai un garage pour ma voiture et pour mon vélo.;A2
A l’intérieur de ma maison, il y a un grand salon avec une table et quatre chaises pour accueillir mes amis.;A2
Mon chat adore se blottir sur le canapé devant la télévision.;A2
La cuisine est la pièce préférée de ma maison.;A2
C’est ici que je cuisine des gâteaux et des pâtisseries.;A2
Pour aller dans ma chambre, je dois monter un escalier.;A2
Elle se situe au bout du couloir, à droite.;A2
A gauche, c’est ma salle de bain, avec vue sur mon jardin.;A2
Je me sens très bien dans ma nouvelle maison !;A2
Chaque jour, Alice se lève vers six heures et prend un petit-déjeuner composé de pain, de fromage et d’œufs.;A2
Ensuite, elle prend sa douche et se prépare pour filer en dix minutes vers la gare.;A2
Le train qui l'emmène en ville est souvent bondé, les gens font grise mine durant le trajet de quinze minutes en consultant leurs smartphones, les écouteurs vissés aux oreilles alors que nous approchons de l'arrivée.;A2
De longues heures s’enchaînent pendant lesquelles Alice et ses camarades apprennent de nouvelles choses.;A2
L'après-midi, Alice va nager à la piscine.;A2
Le soir venu, il faut rentrer en prenant le même chemin que le matin.;A2
Elle fais ses devoirs puis prépare le dîner et finalement, elle regarde un film avant d'aller se coucher.;A2
Bonsoir, madame, en quoi puis-je vous aider ?;A2
Bonsoir, J’ai une réservation pour 21h au nom de Smith.;A2
Je crains que la table ne soit pas encore disponible.;A2
Si vous voulez attendre au bar, on vous appellera quand ce sera prêt.;A2
Excusez-moi, ça fait 30 minutes qu'on attend notre table.;A2
Désolé pour le retard, nous sommes très occupés ce soir.;A2
Je vais aller vérifier.;A2
Je m'entends à peine penser !;A2
Je vais m'en occuper.;A2
Je vais parler au serveur et voir si on peut déplacer les tables.;A2
Excusez-moi, serait-il possible de changer de table ?;A2
Je vais leur demander de se calmer, pour que vous puissiez profiter de votre repas dans le calme.;A2
Y a-t-il un problème avec votre table ?;A2
Normalement, c'est moi qui fais la cuisine le soir, mais samedi dernier, j'ai fait tout le ménage parce que ma mère était malade.;A2
Je ne fais pas grand-chose à la maison.;A2
En fait, ma mère préfère faire le ménage toute seule parce que moi, je casse tout.;A2
Peut-être que j'aiderai mon père dans le jardin ce week-end.;A2
"Je fais mon lit tous les jours, bien sûr; et je fais souvent la vaisselle.";A2
J'aime bien faire la cuisine aussi de temps en temps.;A2
Je n'aime pas sortir la poubelle et je déteste travailler dans le jardin.;A2
Je préfère manger sain et garder la forme.;A2
Je ne suporte pas les plats gras.;A2
Je fais du sport tous les jours.;A2
Il y a un an, j'ai décidé de ne plus manger de viande.;A2
C'est bien simple: je n'apprécie pas l'idée de tuer de pauvres animaux innocents.;A2
À part ça, je fais du sport trois ou quatre fois par semaine.;A2
Et je me couche toujours de bonne heure.;A2
En fait, j'étais végétarien pendant longtemps, mais j'ai fini par changer de régime, parce qu'à mon avis, les plats végétariens ont un goût fade.;A2
Même si je ne suis pas fanatique de fast-food, je ne vois pas pourquoi je ne mangerais pas de pizza et de hamburgers.;A2
Je garde la forme en aidant de temps en temps à la maison ou dans le jardin.;A2
Mes parents sont divorcés et je vis avec ma mère.;A2
Je vois mon père un week-end sur deux.;A2
Ce n'est pas facile à vivre.;A2
En plus, je ne m'entends pas très bien avec ma mère.;A2
On ne se comprend pas du tout.;A2
Elle n'aime pas les gens que je fréquente.;A2
Elle me dit toujours qu'il faut lui parler de mes problèmes, mais quand j'en parle, elle s'énerve contre moi et on finit par se disputer.;A2
Je ne nie pas que parfois, c'est ma faute.;A2
C'est dommage parce que des fois, j'aimerais bien lui poser des questions et lui demander des conseils.;A2
Alors, j'ai commencé à parler à ma grand-mère que j'admire beaucoup et je me suis découvert une nouvelle copine!;A2
La France a une longue histoire avec le dessin animé.;A2
C’est un Français, Émile Reynaud qui proposa au public les premiers dessins animés du cinéma en 1882.;A2
Les premières productions à succès furent des collaborations franco-belges.;A2
Mais ces succès des animés français sont à relativiser.;A2
Les productions américaines sont de loin les plus populaires dans l’Hexagone.;A2
En effet, au classement des 50 films d’animation par nombre de spectateur en France, on compte une une production française seulement pour 49 américaines.;A2
Le chemin est encore long pour que l’animé français soit à la hauteur de ses prestigieux concurrents.;A2
La Corona, créée en 1925, est la bière numéro 1 au Mexique et la quatrième marque la plus vendue dans le monde.;A2
Eh bien, ce n’est pas ce que pensent certaines personnes.;A2
C’est en Italie que les deux mots sont le plus souvent associés.;A2
La requête est fréquente aussi aux États-Unis, au Canada, en Australie, en Inde et en Nouvelle-Zélande.;A2
Paul vient de finir son travail.;A2
Il est en train de ranger ses affaires.;A2
Il a plusieurs choses à faire ce soir.;A2
Il doit faire quelques courses, il compte aussi faire un peu de rangement.;A2
Il sait bien cuisiner alors en général, il prépare aussi le repas.;A2
Et ce soir, il peut prendre son temps car sa femme et ses enfants vont rentrer tard.;A2
Il veut leur faire une surprise.;A2
Il pense leur préparer une tarte aux fraises.;A2
Autrefois, on allumait toutes les bougies de la maison le soir de la Chandeleur.;A2
La Chandeleur est une fête très ancienne.;A2
Elle est devenue au fil du temps une fête chrétienne.;A2
La forme ronde et la couleur dorée des crêpes rappelleraient le soleil et donc le retour du printemps.;A2
Et les enfants adorent cette fête parce qu’on ne mange rien d’autre que des crêpes.;A2
Cette année, ce n’est pas moins de 12 millions d’élèves qui ont repris le chemin de l’école.;A2
La rentrée de cette année est marquée par trois changements notables.;A2
Enfin, cette rentrée verra le retour de la semaine de quatre jours dans certains établissements.;A2
Chaque année, l’humanité consomme plus de ressources que la Terre ne peut en produire en un an.;A2
La date à laquelle l’humanité atteint ce seuil est calculable et elle arrive quatre jours plus tôt chaque année.;A2
Cette année, la date tombe début août.;A2
C’est le constat d’un institut de recherche en Californie qui tient compte pour son calcul de la pression exercée par les humains sur les ressources naturelles, ainsi que de la capacité de la Terre à se régénérer.;A2
Je me demande si les fourmis dorment.;A2
Je me demande s’il y a des fourmis gentilles, égoïstes, des fourmis amoureuses, des fourmis fatiguées le soir.;A2
Dans les campagnes, c’est différent !;A2
Et les agriculteurs craignent que les loups tuent leurs moutons.;A2
Les écologistes ne pensent pas que ce soit un problème car autrefois les loups étaient partout.;A2
Le macaron est un petit gâteau moelleux de forme arrondie que l’on déguste depuis le moyen âge.;A2
La quantité d’amande est égale à la quantité de sucre glace.;A2
La préparation et la cuisson des macarons est difficile même pour les professionnels.;A2
Cette baie est célèbre pour ses grandes marées.;A2
L’abbaye du Mont Saint-Michel est un lieu de pèlerinage.;A2
Son architecture religieuse et militaire date de l’époque médiévale.;A2
À l’abbaye, on peut faire des visites guidées, voir des animations et assister à des concerts toute l’année.;A2
Les spécialités locales sont nombreuses.;A2
La Fête du Travail en France est célébrée le premier mai comme c’est le cas dans de nombreux pays du monde.;A2
Le nombre de manifestants varie d’une année à l’autre selon la popularité du gouvernement en place.;A2
Les gens cueillent quelques brins de muguet ou en achètent pour en offrir à ceux à qui ils iront rendre visite ce jour-là.;A2
Et dans votre pays, ça se passe comment ?;A2
Le choix de l’hôtel dépend bien sûr de votre budget mais aussi de vos envies.;A2
Soyez néanmoins prudents, derrière l’image romantique et ses paysages de carte postale, Paris reste une ville où la délinquance est importante.;A2
Prenez la serviette, Robert.;A2
Donne-moi la serviette !;A2
J'ai une arme, et toi non.;A2
C'est peut-être ça que vous cherchez ?;A2
Ce qu'il y a dans la serviette.;A2
Je saute et vous n'aurez jamais les plans !;A2
Ah oui, exactement comme moi !;A2
Tu travailles pour les services secrets français.;A2
Comment est votre blanquette ?;A2
La blanquette est bonne.;A2
C'est somptueux.;A2
Celui-ci est magnifique.;A2
Mon père est mort ici.;A2
Il a participé à la construction du canal ?;A2
Vous savez, moi je ne crois pas qu'il y ait de bonne ou de mauvaise situation.;A2
La meilleure amie d'un garçon est sa mère.;A2
Il ne peut en rester qu'un.;A2
C'est la belle qui a tué la bête.;A2
La cuillère n'existe pas.;A2
Vous ne passerez pas !;A2
En France, Noël est un moment important !;B1
Les habitants (villes comme campagnes) décorent leurs habitations et achètent des calendriers de l'avant.;B1
Ainsi, les salons se parent de bougies et de sapins.;B1
En général, les français optent pour des sapins en pot afin de prolonger la magie du moment.;B1
L'arbre odorant est paré de guirlandes et de boules tandis qu'une étoile chatoyante est ajoutée sur la cime.;B1
Bien entendu les cadeaux de Noël seront déposés uniquement le 24 décembre au soir afin de permettre le déballage le lendemain matin.;B1
Certaines familles ont pour tradition de déposer des biscuits et un verre de lait près du sapin pour remercier le père noël.;B1
Pâques est une fête catholique célébrée le 21 avril.;B1
Elle commémore la résurrection de Jésus mais fête aussi le printemps !;B1
Tandis que les jonquilles fleurissent, les parents dissimulent du chocolat dans le jardin afin de célébrer Pâques.;B1
Petits comme grands peuvent ainsi partir à la chasse à l’œuf.;B1
Traditionnellement les chocolats sont sous forme d’œufs mais aussi d'animaux comme des poussins, lapins, moutons...;B1
Certains familles décorent les œufs durs en peignant leurs coquilles avec des teintes vertes ou rouges.;B1
La maison de Ben est grande.;B1
Il y a beaucoup de pièces.;B1
Au rez-de-chaussée, il y a un salon avec un piano, une salle-à-manger, une cuisine spacieuse et jaune et une salle de bain.;B1
Il a fait construire en plus une belle véranda contenant une bibliothèque, pour profiter du soleil et d'une vue sur le jardin.;B1
Au sous-sol, il y a une cave, pour ranger le vin.;B1
Au premier étage, il y a trois chambres.;B1
Au deuxième étage, il y a un bureau et deux chambres, dont la sienne.;B1
Dans le bureau, il y a un vélo d'appartement, des haltères et un stepper.;B1
Le jardin est long et étroit, il y a une balançoire au fond et un barbecue, proche de la terrasse, sur laquelle est posée un transat.;B1
Des chats viennent souvent chasser les feuilles qui volent au vent.;B1
Avec les prévisions météo, on peut savoir quel temps il fera le soir, le lendemain ou dans la semaine.;B1
Quand il y a un grand soleil sur la carte, il fera chaud sur la région.;B1
Quand la météo indique un soleil avec des nuages, il y aura peu de soleil et il y aura souvent du vent.;B1
Le temps sera gris.;B1
S’il y a des nuages avec de la pluie sur la carte, c’est qu’il va pleuvoir et qu’il y a des risques de tempête ou de grêle.;B1
Si de la pluie tombe alors qu’il y a du soleil, vous pourrez sans doute observer un arc-en-ciel.;B1
Quand il y a des nuages avec de la neige qui tombe, c’est qu’il va neiger et qu’il peut y avoir du brouillard, des risques de congélation, de la glace et que la température sera très basse.;B1
Lorsqu’il y a un éclair avec des nuages et de la pluie, il risque d’y avoir de la foudre et du tonnerre.;B1
La tour Eiffel est le symbole de la ville de Paris.;B1
Elle a été construite par Gustave Eiffel pour l’Exposition universelle de Paris de 1889.;B1
La tour Eiffel mesure exactement 312 mètres de hauteur.;B1
Lorsqu’elle a été construite, la tour Eiffel était le monument le plus élevé du monde (elle l’est restée pendant quarante ans).;B1
C’est un site touristique très important, environ 7 millions de touristes visitent la tour Eiffel chaque année.;B1
Au total, on estime que depuis sa construction plus de 300 millions de personnes ont visité la tour Eiffel.;B1
