sentence,difficulty,tokenized,wordnb,cognate,cognatenb,cognateratio,punctuation,token_nb,tokenratio
Le chien est le meilleur ami de l'homme.,A1,"['chien', 'meilleur', 'ami', 'homme']",9,['homme'],1,0.1111111111111111,1,4,0.4444444444444444
Je vais aller la chercher,A1,"['aller', 'aller', 'chercher']",5,"['aller', 'aller', 'chercher']",3,0.6,0,3,0.6
"Oui, ça sera tout ?",A1,['oui'],4,[],0,0.0,2,1,0.25
"Un instant, s'il vous plaît.",A1,"['instant', 'plaire']",6,"['instant', 'plaire']",2,0.3333333333333333,2,2,0.3333333333333333
Elle a ouvert la porte de la maison.,A1,"['ouvrir', 'porte', 'maison']",8,[],0,0.0,1,3,0.375
Quoi !,A1,[],1,[],0,0.0,0,0,0.0
Il y a de la neige à la montage.,A1,"['neige', 'montage']",9,"['neige', 'montage']",2,0.2222222222222222,1,2,0.2222222222222222
Pourquoi on ne peut pas entrer dans la chambre ?,A1,"['pouvoir', 'entrer', 'chambre']",9,['entrer'],1,0.1111111111111111,1,3,0.3333333333333333
Qu'est-ce que vous mangez pour le petit-déjeuner ?,A1,"['manger', 'petit-déjeuner']",10,['manger'],1,0.1,3,2,0.2
Je ne suis jamais content.,A1,"['jamais', 'content']",5,['content'],1,0.2,1,2,0.4
C'est très difficile.,A1,['difficile'],4,[],0,0.0,1,1,0.25
Juste un peu.,A1,[],3,[],0,0.0,1,0,0.0
"Oui, elle est grande. Mais le lit est petit.",A1,"['oui', 'grand', 'lit', 'petit']",9,['lit'],1,0.1111111111111111,3,4,0.4444444444444444
Et c'est efficace ?,A1,['efficace'],4,[],0,0.0,1,1,0.25
Vous avez des enfants ?,A1,['enfant'],4,['enfant'],1,0.25,1,1,0.25
"Merci, c'est gentil.",A1,['gentil'],4,['gentil'],1,0.25,2,1,0.25
Je suis en vacances !,A1,['vacance'],4,['vacance'],1,0.25,0,1,0.25
C'est très simple !,A1,['simple'],4,[],0,0.0,0,1,0.25
Moi c'est Pierre.,A1,['pierre'],4,[],0,0.0,1,1,0.25
Elle est grande !,A1,['grand'],3,[],0,0.0,0,1,0.3333333333333333
Je ne parle pas bien français.,A1,['français'],6,[],0,0.0,1,1,0.16666666666666666
Rien d'autre.,A1,[],3,[],0,0.0,1,0,0.0
Tout est prêt.,A1,['prêt'],3,[],0,0.0,1,1,0.3333333333333333
On ne peut pas utiliser son portable et il n'est pas permis de manger,A1,"['pouvoir', 'utiliser', 'portable', 'permettre', 'manger']",15,"['portable', 'permettre', 'manger']",3,0.2,0,5,0.3333333333333333
"Oui, je me doute.",A1,"['oui', 'doute']",4,[],0,0.0,2,2,0.5
"Non, Je ne parle pas français.",A1,['français'],6,[],0,0.0,2,1,0.16666666666666666
Je reste en famille.,A1,['famille'],4,[],0,0.0,1,1,0.25
Que faire à Paris ?,A1,"['faire', 'paris']",4,"['faire', 'paris']",2,0.5,1,2,0.5
Peux-tu m'aider?,A1,['aider'],4,['aider'],1,0.25,2,1,0.25
"En été, j'aime faire de la randonnée et vous, que faites-vous le soir en hiver ?",A1,"['aime', 'faire', 'randonnée', 'faite', 'soir', 'hiver']",17,"['aime', 'faire', 'randonnée', 'soir']",4,0.23529411764705882,4,6,0.35294117647058826
Il va à l'école des petits.,A1,"['aller', 'école', 'petit']",7,['aller'],1,0.14285714285714285,1,3,0.42857142857142855
Je voudrais un café s'il-vous-plaît !,A1,"['vouloir', 'café', 'plaire']",8,"['vouloir', 'plaire']",2,0.25,2,3,0.375
Très bien !,A1,[],2,[],0,0.0,0,0,0.0
"Il est tard, je rentre chez moi.",A1,"['tard', 'rentre']",7,[],0,0.0,2,2,0.2857142857142857
Je vais prendre le premier.,A1,"['aller', 'prendre']",5,"['aller', 'prendre']",2,0.4,1,2,0.4
Quelle heure il est ?,A1,"['quell', 'heure']",4,"['quell', 'heure']",2,0.5,1,2,0.5
Il ne reste pas seul chez lui ce soir,A1,['soir'],9,['soir'],1,0.1111111111111111,0,1,0.1111111111111111
C'est magique pour les enfants.,A1,"['magique', 'enfant']",6,"['magique', 'enfant']",2,0.3333333333333333,1,2,0.3333333333333333
Comment vas-tu ?,A1,[],3,[],0,0.0,2,0,0.0
Je suis très belle.,A1,['bel'],4,['bel'],1,0.25,1,1,0.25
"Pour aller à la mairie, s'il vous plaît ?",A1,"['aller', 'mairie', 'plaire']",9,"['aller', 'mairie', 'plaire']",3,0.3333333333333333,2,3,0.3333333333333333
Je prends le train.,A1,"['prendre', 'train']",4,"['prendre', 'train']",2,0.5,1,2,0.5
C'est un hôtel au bord de la mer,A1,"['hôtel', 'bord', 'mer']",9,['mer'],1,0.1111111111111111,0,3,0.3333333333333333
Je ne trouve pas la rue du marché.,A1,"['trouve', 'rue', 'marché']",8,[],0,0.0,1,3,0.375
Il fait un temps magnifique et nous avons des milliers de choses à faire !,A1,"['faire', 'temps', 'magnifique', 'millier', 'chose', 'faire']",14,"['faire', 'magnifique', 'millier', 'faire']",4,0.2857142857142857,0,6,0.42857142857142855
"Ce qui me plaît surtout, c'est le silence de la montagne.",A1,"['plaire', 'silence', 'montagne']",12,"['plaire', 'silence']",2,0.16666666666666666,2,3,0.25
"Ca va, merci. Et toi ?",A1,"['ca', 'aller']",5,['aller'],1,0.2,3,2,0.4
"Entre les deux, il y a le gris : c'est un mélange de blanc et de noir.",A1,"['gris', 'mélange', 'blanc', 'noir']",17,['gris'],1,0.058823529411764705,2,4,0.23529411764705882
Ne regardez pas le livre.,A1,"['regarder', 'livre']",5,['regarder'],1,0.2,1,2,0.4
Je voudrais la clé s'il vous plaît.,A1,"['vouloir', 'clé', 'plaire']",8,"['vouloir', 'clé', 'plaire']",3,0.375,1,3,0.375
"Le jeudi et le vendredi, je reste chez moi et je travaille à la maison",A1,"['jeudi', 'vendredi', 'travaille', 'maison']",15,['jeudi'],1,0.06666666666666667,1,4,0.26666666666666666
C'était super !,A1,['super'],3,['super'],1,0.3333333333333333,0,1,0.3333333333333333
"Bonjour, ça va ?",A1,"['bonjour', 'aller']",3,"['bonjour', 'aller']",2,0.6666666666666666,2,2,0.6666666666666666
Tu ne trouves pas ça difficile ?,A1,"['trouver', 'difficile']",6,['trouver'],1,0.16666666666666666,1,2,0.3333333333333333
Il faut savoir tout faire.,A1,"['falloir', 'savoir', 'faire']",5,"['falloir', 'savoir', 'faire']",3,0.6,1,3,0.6
Je ne trouve pas mes clés de maison.,A1,"['trouve', 'clé', 'maison']",8,['clé'],1,0.125,1,3,0.375
"Qu'est-ce que je vous sers, mesdemoiselles ?",A1,"['servir', 'mesdemoiselle']",8,"['servir', 'mesdemoiselle']",2,0.25,3,2,0.25
Tout le monde a bien mangé.,A1,"['monde', 'manger']",6,['manger'],1,0.16666666666666666,1,2,0.3333333333333333
Tu vas à l'université ?,A1,"['taire', 'université']",5,['taire'],1,0.2,1,2,0.4
Salut tout le monde,A1,"['salut', 'monde']",4,[],0,0.0,0,2,0.5
Savez-vous pourquoi ?,A1,['savoir'],3,['savoir'],1,0.3333333333333333,2,1,0.3333333333333333
Elle est plus âgée que moi.,A1,['âgé'],6,[],0,0.0,1,1,0.16666666666666666
Il a des lunettes,A1,['lunette'],4,['lunette'],1,0.25,0,1,0.25
Est-ce que vous avez des projets pour le Nouvel An ?,A1,"['projet', 'an']",11,[],0,0.0,2,2,0.18181818181818182
Il sera content de te voir.,A1,"['content', 'voir']",6,['content'],1,0.16666666666666666,1,2,0.3333333333333333
"Là, c'est le bureau de notre manageur.",A1,"['bureau', 'manageur']",8,['bureau'],1,0.125,2,2,0.25
"J'ai préparé le repas, il est dans la cuisine.",A1,"['préparer', 'repas', 'cuisine']",10,"['repas', 'cuisine']",2,0.2,2,3,0.3
"Où sont les toilettes, s'il-vous-plaît ?",A1,"['toilette', 'plaire']",8,"['toilette', 'plaire']",2,0.25,4,2,0.25
J'ai hâte de la rencontrer.,A1,"['hâter', 'rencontrer']",6,[],0,0.0,1,2,0.3333333333333333
C'est parce qu'il n'aimait pas les plats de la cantine.,A1,"['aimer', 'plat', 'cantine']",13,"['aimer', 'plat', 'cantine']",3,0.23076923076923078,1,3,0.23076923076923078
Est-ce que je peux chercher mes valises ?,A1,"['pouvoir', 'chercher', 'valise']",8,"['chercher', 'valise']",2,0.25,2,3,0.375
Il est sous la douche.,A1,['douche'],5,['douche'],1,0.2,1,1,0.2
Il a trouvé un copain.,A1,"['trouver', 'copain']",5,['trouver'],1,0.2,1,2,0.4
"Après, je vais dans la cuisine et je bois mon café",A1,"['aller', 'cuisine', 'boire', 'café']",11,"['aller', 'cuisine', 'boire']",3,0.2727272727272727,1,4,0.36363636363636365
Vous vous appelez comment ?,A1,['appeler'],4,['appeler'],1,0.25,1,1,0.25
Il est bizarre ce chien.,A1,"['bizarre', 'chien']",5,['bizarre'],1,0.2,1,2,0.4
"À droite de la table, il y a un fauteuil et sur le fauteuil il y a un blouson",A1,"['droite', 'table', 'fauteuil', 'fauteuil', 'blouson']",19,"['fauteuil', 'fauteuil']",2,0.10526315789473684,1,5,0.2631578947368421
Juste un moment.,A1,['moment'],3,['moment'],1,0.3333333333333333,1,1,0.3333333333333333
Qu'as-tu mangé ?,A1,['manger'],4,['manger'],1,0.25,2,1,0.25
Ce magasin n'est pas loins de chez moi,A1,"['magasin', 'loin']",9,['loin'],1,0.1111111111111111,0,2,0.2222222222222222
Je suis professeur.,A1,['professeur'],3,[],0,0.0,1,1,0.3333333333333333
Son frère est à côté,A1,"['frère', 'côté']",5,[],0,0.0,0,2,0.4
Il s'appelle Albert et il a un an.,A1,"['appeler', 'albert', 'an']",9,"['appeler', 'albert']",2,0.2222222222222222,1,3,0.3333333333333333
"Le temps devient de plus en plus frais, il commence à y avoir de la pluie et du vent.",A1,"['temps', 'devient', 'frais', 'commencer', 'pluie', 'vent']",19,[],0,0.0,2,6,0.3157894736842105
Il est très fâché parce qu'elle ne lui a pas répondu au téléphone.,A1,"['fâcher', 'répondre', 'téléphone']",14,[],0,0.0,1,3,0.21428571428571427
"Le soir, pour me détendre, j'écoute de la musique ou je regarde un peu la télé",A1,"['soir', 'détendre', 'écoute', 'musique', 'regarde', 'télé']",17,"['soir', 'musique', 'regarde']",3,0.17647058823529413,2,6,0.35294117647058826
"Je ne peux rien te dire, Victor.",A1,"['pouvoir', 'victor']",7,['victor'],1,0.14285714285714285,2,2,0.2857142857142857
Encore une fois.,A1,['fois'],3,[],0,0.0,1,1,0.3333333333333333
"Il ne la connaît pas bien, alors il demande à ses autres collègues",A1,"['connaître', 'demande', 'collègue']",13,[],0,0.0,1,3,0.23076923076923078
Je suis triste sans elle.,A1,['triste'],5,['triste'],1,0.2,1,1,0.2
Oh oui !,A1,['oui'],2,[],0,0.0,0,1,0.5
J'aime le café.,A1,"['aime', 'café']",4,['aime'],1,0.25,1,2,0.5
"Vous pouvez expliquer encore une fois, s'il vous plaît ?",A1,"['pouvoir', 'expliquer', 'fois', 'plaire']",10,['plaire'],1,0.1,2,4,0.4
Je ne trouve pas mes clés.,A1,"['trouve', 'clé']",6,['clé'],1,0.16666666666666666,1,2,0.3333333333333333
"Moi, je suis français!",A1,['français'],4,[],0,0.0,1,1,0.25
Etes-vous à la maison ?,A1,"['ete', 'maison']",5,['ete'],1,0.2,2,2,0.4
Je dois beaucoup travailler mais ça me plaît,A1,"['devoir', 'travailler', 'plaire']",8,['plaire'],1,0.125,0,3,0.375
"Je suis encore au bureau, je vais rentrer plus tard.",A1,"['bureau', 'aller', 'rentrer', 'tard']",10,"['bureau', 'aller']",2,0.2,2,4,0.4
Je t'appelle demain,A1,"['appeler', 'demain']",4,['appeler'],1,0.25,0,2,0.5
Il y a beaucoup de désordre dans l'appartement.,A1,"['désordre', 'appartement']",9,['appartement'],1,0.1111111111111111,1,2,0.2222222222222222
"Je suis désolé, j'ai oublié mes devoirs à la maison.",A1,"['désolé', 'oublier', 'devoir', 'maison']",11,[],0,0.0,2,4,0.36363636363636365
il appelle un docteur !,A1,"['appeler', 'docteur']",4,"['appeler', 'docteur']",2,0.5,0,2,0.5
C'est chouette !,A1,['chouette'],3,['chouette'],1,0.3333333333333333,0,1,0.3333333333333333
"C'est peut-être un petit frère, un gentil chien comme moi .",A1,"['pouvoir', 'petit', 'frère', 'gentil', 'chien']",12,['gentil'],1,0.08333333333333333,3,5,0.4166666666666667
Il commence à y avoir de la pluie et du vent. C'est le moment de sortir mon manteau et mon parapluie !,A1,"['commencer', 'pluie', 'vent', 'moment', 'sortir', 'manteau', 'parapluie']",22,['moment'],1,0.045454545454545456,1,7,0.3181818181818182
"Si tu veux, tu peux arriver tôt.",A1,"['veux', 'pouvoir', 'arriver', 'tôt']",7,['arriver'],1,0.14285714285714285,2,4,0.5714285714285714
Je comprends la situation.,A1,"['comprendre', 'situation']",4,['situation'],1,0.25,1,2,0.5
J'ai la carte jeune.,A1,"['carte', 'jeune']",5,[],0,0.0,1,2,0.4
Bonjour a tous!,A1,['bonjour'],3,['bonjour'],1,0.3333333333333333,0,1,0.3333333333333333
Il est important de boire du café.,A1,"['important', 'boire', 'café']",7,['boire'],1,0.14285714285714285,1,3,0.42857142857142855
Elle est au chômage en ce moment,A1,"['chômage', 'moment']",7,['moment'],1,0.14285714285714285,0,2,0.2857142857142857
Juste un petit peu.,A1,['petit'],4,[],0,0.0,1,1,0.25
Ils seront tous à la maison ce soir.,A1,"['maison', 'soir']",8,['soir'],1,0.125,1,2,0.25
Je sors avec des amis.,A1,"['sortir', 'ami']",5,[],0,0.0,1,2,0.4
J'ai faim,A1,['faim'],3,[],0,0.0,0,1,0.3333333333333333
Elle est entrée.,A1,['entrer'],3,['entrer'],1,0.3333333333333333,1,1,0.3333333333333333
"Je suis une fille, je suis française et j'ai treize ans",A1,"['fille', 'français', 'an']",12,[],0,0.0,1,3,0.25
Il vient à la cérémonie ce soir,A1,"['venir', 'cérémonie', 'soir']",7,"['venir', 'soir']",2,0.2857142857142857,0,3,0.42857142857142855
Il ne me laisse pas regarder la télévision.,A1,"['laisse', 'regarder', 'télévision']",8,"['laisse', 'regarder']",2,0.25,1,3,0.375
Je parle beaucoup.,A1,[],3,[],0,0.0,1,0,0.0
Je travaille chez moi le matin et l'après-midi,A1,"['travaille', 'matin', 'aprè', 'midi']",10,['matin'],1,0.1,1,4,0.4
Es-tu prêt?,A1,['prêt'],3,[],0,0.0,2,1,0.3333333333333333
Vous prenez la voiture.,A1,"['prendre', 'voiture']",4,['prendre'],1,0.25,1,2,0.5
j'espère vous avoir près de moi pour une jolie fête.,A1,"['espérer', 'joli', 'fêt']",11,['joli'],1,0.09090909090909091,1,3,0.2727272727272727
Je n'aime pas dessiner.,A1,"['aime', 'dessiner']",5,['aime'],1,0.2,1,2,0.4
Un enfant est drôle.,A1,"['enfant', 'drôle']",4,['enfant'],1,0.25,1,2,0.5
Tu me fais plaisir !,A1,"['taire', 'faire', 'plaisir']",4,"['taire', 'faire']",2,0.5,0,3,0.75
Tu gagnes de l'argent.,A1,"['gagnes', 'argent']",5,[],0,0.0,1,2,0.4
On s'est tout de suite très bien entendues.,A1,"['suite', 'entendre']",9,['entendre'],1,0.1111111111111111,1,2,0.2222222222222222
Je te présente Marie. C'est une amie.,A1,"['présent', 'marie', 'amie']",8,"['marie', 'amie']",2,0.25,2,3,0.375
J'ai froid,A1,['froid'],3,['froid'],1,0.3333333333333333,0,1,0.3333333333333333
Je suis le mouton,A1,['mouton'],4,['mouton'],1,0.25,0,1,0.25
Elle est rapide.,A1,['rapide'],3,[],0,0.0,1,1,0.3333333333333333
Je suis architecte. Et toi ?,A1,['architecte'],5,['architecte'],1,0.2,2,1,0.2
"Tous les lundis, c'est la même chose",A1,"['lundi', 'chose']",8,['lundi'],1,0.125,1,2,0.25
Je vous coupe les cheveux.,A1,"['coupe', 'cheveu']",5,[],0,0.0,1,2,0.4
Comment allez-vous aujourd'hui ?,A1,['aller'],5,['aller'],1,0.2,2,1,0.2
Monsieur de Cyrano n'est pas là ?,A1,"['monsieur', 'cyrano']",7,"['monsieur', 'cyrano']",2,0.2857142857142857,1,2,0.2857142857142857
"Et après, on peut prendre un bain dans la piscine, l'eau est bonne !",A1,"['pouvoir', 'prendre', 'bain', 'piscine', 'eau', 'bon']",14,"['prendre', 'piscine', 'eau']",3,0.21428571428571427,2,6,0.42857142857142855
"Je suis malade, je reste dans mon lit aujourd'hui.",A1,"['malade', 'lit']",10,['lit'],1,0.1,2,2,0.2
"Le bleu, c'est ma couleur préférée mais je n'aime pas le vert!",A1,"['bleu', 'couleur', 'préférer', 'aime', 'vert']",14,"['bleu', 'aime', 'vert']",3,0.21428571428571427,1,5,0.35714285714285715
La balle est partie.,A1,"['balle', 'partie']",4,['balle'],1,0.25,1,2,0.5
ça me donne faim tout ça,A1,"['donne', 'faim']",6,[],0,0.0,0,2,0.3333333333333333
Elle aime le sport et la musique,A1,"['aime', 'sport', 'musique']",7,"['aime', 'musique']",2,0.2857142857142857,0,3,0.42857142857142855
Tu rêves de partir.,A1,"['rêver', 'partir']",4,['partir'],1,0.25,1,2,0.5
Je mange de l'herbe,A1,"['manger', 'herbe']",5,"['manger', 'herbe']",2,0.4,0,2,0.4
Que se passe-t-il?,A1,['passer'],5,['passer'],1,0.2,3,1,0.2
Un bureau !,A1,['bureau'],2,['bureau'],1,0.5,0,1,0.5
Il n'a pas cours l'après-midi du mercredi,A1,"['cours', 'midi', 'mercredi']",10,['mercredi'],1,0.1,1,3,0.3
Il y a des cours de portugais.,A1,"['cours', 'portugais']",7,['portugais'],1,0.14285714285714285,1,2,0.2857142857142857
Vous êtes partie.,A1,['partir'],3,['partir'],1,0.3333333333333333,1,1,0.3333333333333333
"Mon mari et moi avons deux enfants, une fille de sept ans et un garçon de trois ans.",A1,"['mari', 'enfant', 'fille', 'an', 'garçon', 'an']",18,['enfant'],1,0.05555555555555555,2,6,0.3333333333333333
