,ngram,FR_term_frequency,EN_term_frequency,delta
2474,366,370601,807159,436558
2475,ensuing,4308,807006,802698
2476,asiatic,29495,806804,777309
2477,tan,425934,806768,380834
2478,yellowish,3088,806574,803486
2479,eastward,4119,806487,802368
2480,aperture,21574,806435,784861
2481,solids,23581,806327,782746
2482,1500,422951,806071,383120
2483,erection,429915,805986,376071
2484,habitual,8199,805953,797754
2485,raid,111527,805938,694411
2486,sweetness,2206,805320,803114
2487,restrain,3012,805235,802223
2488,rigorous,7230,805206,797976
2489,ceremonial,297627,805106,507479
2490,reigned,1488,804916,803428
2491,rochester,58775,804775,746000
2492,norwegian,21676,804702,783026
2493,behavioral,38544,804666,766122
2494,enriched,8355,804615,796260
2495,dale,82473,804549,722076
2496,korean,16258,804498,788240
2497,exp,330587,804462,473875
2498,forthwith,5036,804459,799423
2499,facial,181518,804332,622814
2500,sanctions,994971,804310,190661
2501,infra,942719,804256,138463
2502,anal,244427,804075,559648
2503,zeus,184202,803947,619745
2504,dignified,1698,803688,801990
2505,rex,270633,803670,533037
2506,hides,5332,803669,798337
2507,allan,102293,803297,701004
2508,app,142882,803283,660401
2509,swiftly,1609,803276,801667
2510,documented,9359,803064,793705
2511,divides,4162,802941,798779
2512,managerial,30185,802861,772676
2513,lowering,8852,802857,794005
2514,superb,4549,802481,797932
2515,boss,39158,802455,763297
2516,hostilities,6892,802259,795367
2517,giles,36616,802223,765607
2518,mint,12055,802104,790049
2519,lending,12564,802090,789526
2520,etiam,575518,801830,226312
2521,simplified,13896,801569,787673
2522,impatience,950260,801481,148779
2523,rep.,41384,801445,760061
2524,jesuits,6359,801288,794929
2525,mum,27639,800745,773106
2526,electrode,316366,800604,484238
2527,bach,316215,800596,484381
2528,chariot,466582,800373,333791
2529,distorted,6234,800194,793960
2530,presidency,11655,800145,788490
2531,blamed,2758,800140,797382
2532,needless,3519,800094,796575
2533,journalist,6421,800056,793635
2534,362,347127,800027,452900
2535,importantly,5718,799904,794186
2536,debtor,14396,799845,785449
2537,larvae,26686,799751,773065
2538,flourishing,3181,799418,796237
2539,disciple,885067,799388,85679
2540,peculiarities,5635,799323,793688
2541,fisheries,50567,799289,748722
2542,michigan,233203,799275,566072
2543,wholesale,15697,799191,783494
2544,385,396057,799058,403001
2545,discusses,12363,798878,786515
2546,pierced,1984,798597,796613
2547,hearth,5815,798438,792623
2548,hats,3725,798383,794658
2549,computing,19238,798357,779119
2550,jehovah,125437,798346,672909
2551,commonplace,5254,798099,792845
2552,1920s,5397,798038,792641
2553,confinement,65342,797931,732589
2554,cc,491270,797805,306535
2555,mamma,11808,797571,785763
2556,trousers,1662,797566,795904
2557,lyons,88449,797529,709080
2558,porch,2842,797466,794624
2559,pilgrims,5545,797416,791871
2560,lacks,9130,797404,788274
2561,damned,4359,797387,793028
2562,cricket,21804,797335,775531
2563,flourish,2777,796950,794173
2564,nail,20032,796909,776877
2565,kinetic,14834,796878,782044
2566,cod,247745,796763,549018
2567,373,367323,796726,429403
2568,substituting,5595,796514,790919
2569,3.3,247463,796506,549043
2570,persians,1657,796216,794559
2571,monkey,12940,796125,783185
2572,gentiles,22118,796095,773977
2573,stevenson,85867,796051,710184
2574,prague,801689,795959,5730
2575,specialists,17903,795954,778051
2576,theoretically,10009,795949,785940
2577,plunged,1665,795864,794199
2578,hearty,1944,795411,793467
2579,worshipped,1629,795341,793712
2580,tit,429069,795186,366117
2581,countless,3032,795073,792041
2582,plymouth,74307,794841,720534
2583,ascended,1022,794747,793725
2584,scenario,581485,794593,213108
2585,precepts,3501,794222,790721
2586,equitable,862040,794222,67818
2587,doomed,3861,794023,790162
2588,proposes,958426,793964,164462
2589,jonson,23013,793573,770560
2590,winged,3442,793449,790007
2591,starch,8024,793390,785366
2592,presidential,19647,793378,773731
2593,magical,7132,793369,786237
2594,coronary,15440,792942,777502
2595,cal,297168,792890,495722
2596,interruption,1166010,792849,373161
2597,preachers,2992,792801,789809
2598,intestine,49672,792739,743067
2599,ranged,5462,792692,787230
2600,"3,000",336061,792528,456467
2601,apostolic,6127,792494,786367
2602,compel,4537,792311,787774
2603,confounded,1529,792239,790710
2604,antigen,15768,792114,776346
2605,1825,639621,792105,152484
2606,telescope,187338,792062,604724
2607,individuality,6699,791814,785115
2608,unfavourable,5803,791762,785959
2609,mortar,4056,791554,787498
2610,inappropriate,4894,791445,786551
2611,ovid,11293,791366,780073
2612,falsehood,2221,791363,789142
2613,frankly,3518,791098,787580
2614,portfolio,23081,790911,767830
2615,bilateral,167010,790864,623854
2616,368,380238,790736,410498
2617,pleaded,3416,790672,787256
2618,robes,474750,790407,315657
2619,dashed,6054,790361,784307
2620,billy,102712,790256,687544
2621,emigration,1471408,790153,681255
2622,shaping,15294,789864,774570
2623,420,478196,789864,311668
2624,negotiate,5288,789592,784304
2625,ornamental,3613,789586,785973
2626,greene,55331,789548,734217
2627,interpreting,13142,789522,776380
2628,abortion,14495,789389,774894
2629,evelyn,31604,789314,757710
2630,iodine,8236,789211,780975
2631,xxv,444996,789197,344201
2632,demonstrations,655247,789039,133792
2633,oaths,2444,788663,786219
2634,freezing,21034,788479,767445
2635,instincts,714122,788461,74339
2636,complexion,79653,788268,708615
2637,swim,3305,788145,784840
2638,escort,4736,788070,783334
2639,berry,546234,788046,241812
2640,photographic,11470,787429,775959
2641,mediation,1029582,787153,242429
2642,urinary,12570,787076,774506
2643,magnet,12343,787052,774709
2644,southeast,31366,786960,755594
2645,consolidated,27351,786866,759515
2646,weaknesses,5026,786669,781643
2647,lemon,11651,786452,774801
2648,sack,17462,786359,768897
2649,wa,154237,786305,632068
2650,footsteps,2487,785871,783384
2651,matches,35352,785854,750502
2652,recurrent,123788,785836,662048
2653,richest,3283,785611,782328
2654,ultra,707012,785587,78575
2655,disappearance,11701,785543,773842
2656,anticipation,428162,785479,357317
2657,ministerial,11940,785447,773507
2658,1.3,303069,785194,482125
2659,edith,155872,784802,628930
2660,confidential,9042,784391,775349
2661,resin,8369,784191,775822
2662,mastery,7212,784158,776946
2663,curtains,1919,784142,782223
2664,barnes,68874,784130,715256
2665,martyrs,660565,784094,123529
2666,vitality,6590,784045,777455
2667,intellectuals,13153,783927,770774
2668,interpreter,1259800,783840,475960
2669,recalls,8039,783759,775720
2670,improper,5634,783638,778004
2671,distressed,2228,783432,781204
2672,aerial,13682,783418,769736
2673,misfortunes,1862,783415,781553
2674,striving,4807,783317,778510
2675,turnover,20685,783215,762530
2676,dorset,26976,783047,756071
2677,suspicions,40020,783027,743007
2678,benevolent,4908,782975,778067
2679,spy,20882,782936,762054
2680,hounds,2050,782927,780877
2681,knot,5414,782849,777435
2682,journalists,7099,782798,775699
2683,distilled,4910,782772,777862
2684,herodotus,3539,782751,779212
2685,satisfactorily,6512,782745,776233
2686,thoughtful,1940,782551,780611
2687,sheltered,3422,782228,778806
2688,hollywood,100974,782183,681209
2689,activated,12925,782163,769238
2690,patents,52145,782070,729925
2691,twilight,7242,782037,774795
2692,glen,19151,781837,762686
2693,shots,4324,781783,777459
2694,gerald,132913,781678,648765
2695,ridicule,1544400,781645,762755
2696,informs,3512,781603,778091
2697,pedro,471855,781422,309567
2698,stole,3940,781325,777385
2699,fir,40955,781142,740187
2700,periodical,23405,781011,757606
2701,confer,16804,780957,764153
2702,perceiving,3650,780791,777141
2703,creep,12146,780771,768625
2704,irresistible,678403,780518,102115
2705,reproduce,13065,780358,767293
2706,hereby,20272,779944,759672
2707,dramatically,4726,779942,775216
2708,exempt,490518,779702,289184
2709,focuses,9289,779624,770335
2710,hardness,6116,779498,773382
2711,agitated,1868,779428,777560
2712,dominate,7015,779379,772364
2713,odour,2846,779289,776443
2714,mammals,17597,779262,761665
2715,manifold,7234,779233,771999
2716,saxons,591440,779219,187779
2717,puzzled,1760,779213,777453
2718,designing,9933,778903,768970
2719,1814,1023982,778864,245118
2720,achilles,12862,778824,765962
2721,spacious,1773,778811,777038
2722,pyramid,6482,778691,772209
2723,thinkers,7575,778361,770786
2724,banner,11890,778033,766143
2725,exploited,8529,777997,769468
2726,nd,206312,777854,571542
2727,derivation,462276,777700,315424
2728,tranquillity,2874,777635,774761
2729,lobes,445576,777513,331937
2730,mus,400494,777146,376652
2731,ferry,469607,776713,307106
2732,uterus,856747,776560,80187
2733,moors,6734,776360,769626
2734,incorrect,69437,776276,706839
2735,consolidation,639789,776163,136374
2736,practitioner,8319,775826,767507
2737,superfluous,3957,775684,771727
2738,despatched,1459,775629,774170
2739,apples,9769,775563,765794
2740,markedly,8198,775162,766964
2741,conditioned,11982,775012,763030
2742,intervening,5903,774991,769088
2743,laboured,1077,774989,773912
2744,devise,699050,774886,75836
2745,coordinate,11359,774770,763411
2746,moderately,5925,774766,768841
2747,cough,3021,774694,771673
2748,howe,68421,774603,706182
2749,377,365928,774484,408556
2750,terrestrial,13716,774457,760741
2751,lustre,256522,774419,517897
2752,lisbon,10587,774320,763733
2753,organizing,16201,774232,758031
2754,crust,18670,774187,755517
2755,edwin,68448,774170,705722
2756,oxen,2415,774096,771681
2757,summarized,11914,774033,762119
2758,ammonium,177837,773797,595960
2759,turf,17220,773664,756444
2760,stationed,2734,773411,770677
2761,huts,3417,773371,769954
2762,chronological,13419,773265,759846
2763,marrow,10952,773248,762296
2764,reigns,3573,772955,769382
2765,embracing,5205,772926,767721
2766,grievances,4253,772818,768565
2767,despise,1495,772803,771308
2768,macbeth,82761,772733,689972
2769,burgundy,4790,772484,767694
2770,chronology,17717,772402,754685
2771,villagers,5963,772376,766413
2772,courtyard,3286,772129,768843
2773,mackenzie,87098,771977,684879
2774,accepts,7120,771713,764593
2775,dip,36548,771633,735085
2776,tudor,68201,771462,703261
2777,java,420396,771429,351033
2778,trenches,2731,771071,768340
2779,riot,14679,771025,756346
2780,lengthy,5158,771018,765860
2781,vs.,6567,770985,764418
2782,struggled,1679,770888,769209
2783,administrators,8375,770879,762504
2784,dairy,41827,770752,728925
2785,c.c.,139700,770640,630940
2786,exceptionally,6200,770589,764389
2787,lining,5582,770419,764837
2788,translator,11166,770126,758960
2789,nietzsche,698330,769858,71528
2790,therapist,1867,769574,767707
2791,corridor,204987,769247,564260
2792,intensely,3409,769141,765732
2793,pc,432741,768894,336153
2794,nasal,151048,768825,617777
2795,synod,5703,768780,763077
2796,terra,338335,768608,430273
2797,understands,4198,768552,764354
2798,tar,60150,768540,708390
2799,socialists,5728,768457,762729
2800,mole,441568,768404,326836
2801,lebanon,26371,768377,742006
2802,necessities,4481,768374,763893
2803,toes,2889,768242,765353
2804,judicious,2692,768219,765527
2805,chi,370989,768034,397045
2806,thrice,1563,768022,766459
2807,inclusive,31778,767991,736213
2808,crises,1531216,767762,763454
2809,denounced,4184,767756,763572
2810,medicines,4712,767574,762862
2811,han,394937,767532,372595
2812,atque,392980,767333,374353
2813,blair,87228,767187,679959
2814,materially,4474,767146,762672
2815,observance,222625,767107,544482
2816,crazy,8064,767009,758945
2817,distortion,10679,766764,756085
2818,lin,1556620,766730,789890
2819,geometrical,12514,766702,754188
2820,distrust,3861,766672,762811
2821,saul,96824,766527,669703
2822,brandy,17194,766369,749175
2823,pomp,9471,766241,756770
2824,bearer,5246,766165,760919
2825,organize,9734,766088,756354
2826,battalions,1533,766050,764517
2827,casualties,3586,765699,762113
2828,familiarity,4692,765614,760922
2829,unified,14921,765581,750660
2830,mandate,75791,765552,689761
2831,lear,63581,765491,701910
2832,379,350002,765414,415412
2833,cooled,10507,765395,754888
2834,predominant,192041,765282,573241
2835,xxvi,432238,765250,333012
2836,gossip,3586,765167,761581
2837,capsule,543489,765143,221654
2838,exercising,7471,765039,757568
2839,probe,96340,764873,668533
2840,characterization,25579,764861,739282
2841,abundantly,2984,764664,761680
2842,1812,615195,764545,149350
2843,worldwide,18457,764472,746015
2844,sliding,7624,764291,756667
2845,eleanor,18998,764270,745272
2846,paramount,21338,764265,742927
2847,viceroy,5743,763927,758184
2848,detained,9357,763759,754402
2849,loosely,3803,763670,759867
2850,impacts,155070,763577,608507
2851,renowned,3032,763574,760542
2852,ruskin,85023,763171,678148
2853,syrian,9014,763170,754156
2854,plentiful,2480,763155,760675
2855,scanty,2657,763100,760443
2856,pilgrim,13699,762907,749208
2857,digestion,587201,762848,175647
2858,circulating,8917,762764,753847
2859,dresses,431949,762689,330740
2860,potato,16933,762682,745749
2861,churchyard,1594,762436,760842
2862,strait,9438,762262,752824
2863,renew,13430,762085,748655
2864,imaging,19853,762074,742221
2865,delights,1973,761834,759861
2866,greenwich,115317,761798,646481
2867,catastrophe,1018172,761549,256623
2868,383,373040,761379,388339
2869,iris,444219,761322,317103
2870,ballet,391182,761219,370037
2871,sporting,10960,761202,750242
2872,potter,87814,761160,673346
2873,stockholm,600351,760985,160634
2874,fearing,2265,760829,758564
2875,clifford,52541,760802,708261
2876,jazz,232231,760709,528478
2877,pronunciation,7493,760549,753056
2878,creativity,12797,760510,747713
2879,appropriated,4590,760388,755798
2880,conrad,332533,760336,427803
2881,forgetting,3901,760318,756417
2882,maize,19951,760284,740333
2883,kenneth,94223,760276,666053
2884,sentimental,242178,760074,517896
2885,obsolete,60196,760055,699859
2886,multiplication,1290079,760016,530063
2887,cursed,1711,759887,758176
2888,horseback,1835,759859,758024
2889,restrict,8871,759659,750788
2890,coventry,28452,759630,731178
2891,recruitment,14714,759550,744836
2892,harriet,27584,759520,731936
2893,poll,18283,759479,741196
2894,wavelength,13206,759458,746252
2895,allotted,4182,759305,755123
2896,waking,2913,759119,756206
2897,obscurity,2478,758842,756364
2898,researcher,7481,758530,751049
2899,versa,413735,758469,344734
2900,magnesium,301226,758422,457196
2901,vault,26522,758205,731683
2902,381,343896,758141,414245
2903,carlisle,33168,758119,724951
2904,coral,33244,757895,724651
2905,labouring,3697,757887,754190
2906,395,345046,757858,412812
2907,invaluable,4159,757698,753539
2908,shafts,2516,757681,755165
2909,persist,5617,757561,751944
2910,charters,24106,757338,733232
2911,0.2,197602,757225,559623
2912,penetrating,5573,757146,751573
2913,bust,4985,757097,752112
2914,poisoning,9291,756959,747668
2915,devoid,5982,756681,750699
2916,truck,32563,756636,724073
2917,taiwan,165708,756419,590711
2918,middlesex,28017,756240,728223
2919,styled,1844,756131,754287
2920,baggage,3324,756110,752786
2921,mike,41456,756015,714559
2922,gall,374272,755962,381690
2923,accorded,11379,755843,744464
2924,disciplines,1027474,755832,271642
2925,minus,148791,755645,606854
2926,silicon,38527,755559,717032
2927,journeys,5608,755483,749875
2928,selves,31097,755366,724269
2929,374,347039,755353,408314
2930,gum,28314,755310,726996
2931,woodland,7259,754972,747713
2932,2.4,231461,754917,523456
2933,assistants,557215,754861,197646
2934,internally,4663,754855,750192
2935,ridges,8291,754756,746465
2936,mirth,1854,754730,752876
2937,pie,1675043,754690,920353
2938,implicitly,6516,754661,748145
2939,terrified,830,754659,753829
2940,pence,107034,754578,647544
2941,signified,3636,754576,750940
2942,diamonds,5094,754479,749385
2943,slower,5842,754163,748321
2944,mixtures,27818,754159,726341
2945,372,354495,754038,399543
2946,calmly,809,753936,753127
2947,whitehall,31382,753806,722424
2948,pollen,291321,753591,462270
2949,vigorously,2912,753480,750568
2950,breathed,1151,753426,752275
2951,jointly,11466,753355,741889
2952,lament,4608,753355,748747
2953,capita,77339,753301,675962
2954,embarrassment,2154,753287,751133
2955,platinum,7239,753200,745961
2956,appropriately,4025,753044,749019
2957,wreck,5127,752917,747790
2958,turbulent,116212,752783,636571
2959,feminism,16304,752780,736476
2960,hugo,1375076,752774,622302
2961,405,346504,752630,406126
2962,scarcity,8915,752570,743655
2963,charging,6266,752547,746281
2964,apprehended,3284,752250,748966
2965,allah,259469,752234,492765
2966,voluntarily,4983,752191,747208
2967,401,344844,752120,407276
2968,incorporate,6656,751987,745331
2969,manure,6406,751904,745498
2970,bureaucracy,15835,751815,735980
2971,anticipate,4669,751790,747121
2972,rated,4225,751340,747115
2973,crash,16515,751069,734554
2974,mann,267641,750996,483355
2975,checks,9291,750931,741640
2976,omnibus,549627,750928,201301
2977,bile,440976,750924,309948
2978,swore,884,750912,750028
2979,expended,3198,750882,747684
2980,nominated,5717,750819,745102
2981,refinement,4722,750764,746042
2982,denoted,5364,750635,745271
2983,pioneer,24067,750578,726511
2984,gastric,11093,750392,739299
2985,bd,312221,750380,438159
2986,tracing,9315,750262,740947
2987,bv,46558,750258,703700
2988,manhood,2907,750218,747311
2989,387,353298,750054,396756
2990,regularity,6300,750045,743745
2991,correlated,16845,750036,733191
2992,compelling,4546,749995,745449
2993,cu,273092,749879,476787
2994,376,357647,749732,392085
2995,shields,12693,749623,736930
2996,murmur,3336,749589,746253
2997,noisy,49103,749283,700180
2998,urging,2629,749252,746623
2999,computation,33934,749201,715267
3000,kid,17554,749043,731489
3001,economist,68993,748939,679946
3002,prominence,4577,748548,743971
3003,sediment,196353,748469,552116
3004,prisons,1319643,747727,571916
3005,disguised,3346,747617,744271
3006,charts,12552,747602,735050
3007,peasantry,7999,747482,739483
3008,b.a.,47304,747477,700173
3009,tourists,5798,747284,741486
3010,absorb,5466,747230,741764
3011,authoritative,6620,747136,740516
3012,sow,95476,746983,651507
3013,trips,10609,746949,736340
3014,symposium,291883,746883,455000
3015,devils,4310,746847,742537
3016,384,364124,746826,382702
3017,accelerated,10770,746730,735960
3018,traitor,1973,746677,744704
3019,fractions,729981,746512,16531
3020,marxism,15402,746392,730990
3021,dismissal,6206,746342,740136
3022,guiding,6890,746156,739266
3023,tuberculosis,44401,746149,701748
3024,strokes,3512,745775,742263
3025,foucault,487619,745725,258106
3026,plunder,2497,745473,742976
3027,tame,13521,745286,731765
3028,textual,18251,745263,727012
3029,378,363959,745125,381166
3030,ave,247441,745094,497653
3031,stanza,9807,745050,735243
3032,drill,17867,744962,727095
3033,thieves,2853,744809,741956
3034,congenital,71962,744790,672828
3035,climax,32436,744737,712301
3036,gel,332048,744665,412617
3037,webb,67632,744585,676953
3038,confirms,10215,744579,734364
3039,parsons,94532,744552,650020
3040,waving,1405,744468,743063
3041,documentary,18071,744452,726381
3042,menu,533147,744371,211224
3043,abound,2294,743871,741577
3044,mosque,5067,743231,738164
3045,murderer,2146,743026,740880
3046,desolate,1689,742785,741096
3047,colonists,3921,742761,738840
3048,ter,810832,742720,68112
3049,mound,10618,742656,732038
3050,suggestive,124525,742634,618109
3051,excavation,203328,742633,539305
3052,contributes,9260,742576,733316
3053,guardians,8551,742540,733989
3054,pitched,1117,742539,741422
3055,folks,4823,742493,737670
3056,ionic,11391,742380,730989
3057,observable,144928,742315,597387
3058,drums,5500,742010,736510
3059,cab,70029,741849,671820
3060,ascend,2339,741659,739320
3061,lodgings,1691,741629,739938
3062,chromosome,109205,741478,632273
3063,rite,802200,741467,60733
3064,czech,18303,741393,723090
3065,afghanistan,346086,741383,395297
3066,guise,1289000,741370,547630
3067,caves,444390,741313,296923
3068,sadness,2745,741288,738543
3069,bud,29475,741273,711798
3070,ringing,1948,741249,739301
3071,elapsed,4231,741246,737015
3072,apprehend,3070,741210,738140
3073,presbyterian,6034,741160,735126
3074,cumulative,68541,741089,672548
3075,hypothetical,7965,741006,733041
3076,slate,12189,740921,728732
3077,guild,16733,740683,723950
3078,judah,9361,740664,731303
3079,akin,7215,740542,733327
3080,advisers,7289,740397,733108
3081,ounces,2263,740382,738119
3082,beethoven,324606,740328,415722
3083,buddhism,10279,740327,730048
3084,mag,154002,740254,586252
3085,reid,137984,740089,602105
3086,vatican,775956,740088,35868
3087,liquids,9883,739763,729880
3088,banquet,573121,739629,166508
3089,fable,729987,739479,9492
3090,counterpart,7301,739453,732152
3091,meyer,550400,739423,189023
3092,pier,65723,739377,673654
3093,mp,116385,739315,622930
3094,rubbed,1179,739245,738066
3095,reich,872007,739176,132831
3096,cottages,24803,739163,714360
3097,armstrong,88527,738869,650342
3098,1793,1458468,738745,719723
3099,purification,361617,738715,377098
3100,polity,22152,738665,716513
3101,deduction,984660,738647,246013
3102,barn,8083,738567,730484
3103,exeunt,2474,738292,735818
3104,fines,1050443,738203,312240
3105,patriarch,4120,738127,734007
3106,identifies,287080,738091,451011
3107,tertiary,17997,737975,719978
3108,cultivate,4093,737975,733882
3109,drained,4246,737835,733589
3110,depreciation,425252,737797,312545
3111,murmured,397,737623,737226
3112,radically,7481,737615,730134
3113,calyx,11523,737605,726082
3114,adherents,982612,737575,245037
3115,eugene,1480206,737435,742771
3116,hampshire,60301,737287,676986
3117,2008,478375,737229,258854
3118,disclosure,7642,737185,729543
3119,license,16899,737131,720232
3120,robbed,1801,737072,735271
3121,sb,86051,737011,650960
3122,separates,4942,736928,731986
3123,rachel,177341,736925,559584
3124,alternately,2432,736801,734369
3125,crept,1121,736783,735662
3126,horrors,2696,736711,734015
3127,spenser,18855,736700,717845
3128,obstinate,1897,736527,734630
3129,cherished,2159,735785,733626
3130,landscapes,12535,735686,723151
3131,chocolate,8441,735623,727182
3132,coincide,647677,735589,87912
3133,overwhelmed,1788,735276,733488
3134,priesthood,2890,735269,732379
3135,chris,80801,735041,654240
3136,fancied,777,734986,734209
3137,orator,15018,734984,719966
3138,goose,7100,734600,727500
3139,transitions,267000,734518,467518
3140,beatrice,230471,734411,503940
3141,preston,42592,734378,691786
3142,pistol,2397,734090,731693
3143,yonder,1069,734089,733020
3144,volunteer,6177,734056,727879
3145,banker,13108,734020,720912
3146,ein,1260555,733996,526559
3147,webster,70611,733955,663344
3148,devonshire,39769,733906,694137
3149,3000,331052,733856,402804
3150,spirited,1639,733769,732130
3151,mol,290836,733751,442915
3152,silica,14717,733703,718986
3153,nov,104985,733570,628585
3154,woven,4253,733494,729241
3155,spur,11069,733449,722380
3156,musician,3882,733311,729429
3157,sierra,453499,733241,279742
3158,schooling,13486,733151,719665
3159,gibson,61352,733071,671719
3160,tlie,51309,732753,681444
3161,economical,17681,732740,715059
3162,morphology,38852,732552,693700
3163,probabilities,9184,732497,723313
3164,harmonic,8054,732438,724384
3165,searched,3125,732271,729146
3166,tt,354445,732170,377725
3167,circulated,4603,732078,727475
3168,repent,38240,731603,693363
3169,conveyance,4828,731514,726686
3170,didst,919,731317,730398
3171,copenhagen,25315,731311,705996
3172,palestinian,12359,731301,718942
3173,wilhelm,286697,731261,444564
3174,physiol,230966,731163,500197
3175,resembled,2288,731071,728783
3176,shattered,2799,730900,728101
3177,yugoslavia,24320,730708,706388
3178,haunted,3426,730665,727239
3179,birch,29131,730443,701312
3180,allocated,6816,730428,723612
3181,honestly,2152,730326,728174
3182,hector,297329,730298,432969
3183,stealing,2937,730126,727189
3184,offset,62285,729818,667533
3185,duct,7882,729647,721765
3186,illinois,190828,729621,538793
3187,porcelain,5466,729566,724100
3188,paralysis,9631,729539,719908
3189,expulsion,855376,729373,126003
3190,browning,48404,729173,680769
3191,imminent,218411,729162,510751
3192,quitted,567,729076,728509
3193,philippines,417184,729039,311855
3194,petitions,439391,728997,289606
3195,hardened,3201,728884,725683
3196,ph.d.,34164,728704,694540
3197,levied,9311,728068,718757
3198,rehabilitation,527743,727972,200229
3199,1824,576766,727778,151012
3200,poultry,17386,727683,710297
3201,"50,000",222409,727625,505216
3202,encounters,9419,727380,717961
3203,jest,24624,727312,702688
3204,restoring,5808,727285,721477
3205,besieged,1642,727230,725588
3206,ensued,1568,727222,725654
3207,knox,53612,727146,673534
3208,ghosts,6154,727117,720963
3209,creditor,18026,727051,709025
3210,hey,19459,726929,707470
3211,adviser,37798,726919,689121
3212,pathetic,2078,726799,724721
3213,strengths,5420,726753,721333
3214,enim,494128,726704,232576
3215,deprive,4727,726407,721680
3216,album,434233,726235,292002
3217,motto,10604,726146,715542
3218,survivors,7285,726124,718839
3219,gloves,2082,726047,723965
3220,infectious,15026,725997,710971
3221,montgomery,77739,725992,648253
3222,lb,172651,725992,553341
3223,inventions,687120,725939,38819
3224,grazing,12029,725345,713316
3225,innate,5539,725266,719727
3226,christendom,4565,725229,720664
3227,tickets,69450,725075,655625
3228,scholarly,11970,724992,713022
3229,ambitions,829407,724916,104491
3230,lucas,361031,724885,363854
3231,rot,128365,724848,596483
3232,22nd,7949,724636,716687
3233,spectacular,6667,724587,717920
3234,democrats,6256,724571,718315
3235,sovereigns,3945,724568,720623
3236,2-3,190821,724503,533682
3237,interim,347730,724270,376540
3238,beforehand,3494,724190,720696
3239,implements,10503,724173,713670
3240,invalid,6535,724147,717612
3241,liberated,6423,723989,717566
3242,sen,348399,723709,375310
3243,bounty,9714,723633,713919
3244,oct,149421,723544,574123
3245,382,340965,723461,382496
3246,humane,8521,723419,714898
3247,389,332960,723324,390364
3248,whigs,96729,723302,626573
3249,bl,165866,723233,557367
3250,lone,23547,723036,699489
3251,ro,329740,722942,393202
3252,whale,11291,722816,711525
3253,delivering,4339,722734,718395
3254,singers,4482,722697,718215
3255,devout,1611,722689,721078
3256,designation,1457425,722600,734825
3257,natures,584157,722596,138439
3258,gut,98784,722478,623694
3259,pm,137027,722227,585200
3260,gent,259667,722215,462548
3261,vomiting,2082,722196,720114
3262,paragraphs,17154,722173,705019
3263,nick,34271,722009,687738
3264,rider,33968,721901,687933
3265,lab,103433,721807,618374
3266,sophia,84586,721737,637151
3267,terribly,1613,721712,720099
3268,cognition,108666,721682,613016
3269,clue,10315,721642,711327
3270,386,340347,721565,381218
3271,pint,3957,721516,717559
3272,insistence,5097,721502,716405
3273,allowances,9011,721280,712269
3274,pearson,87777,721223,633446
3275,ber,157022,721192,564170
3276,4s,40071,721104,681033
3277,algebra,16144,720985,704841
3278,recipient,439700,720913,281213
3279,anglican,83871,720904,637033
3280,bearings,4848,720863,716015
3281,contemplate,3700,720806,717106
3282,mozart,359465,720680,361215
3283,deserving,2354,720526,718172
3284,403,328111,720077,391966
3285,stare,32350,720036,687686
3286,yeast,14761,719882,705121
3287,rivalry,6513,719857,713344
3288,corrections,550356,719695,169339
3289,logically,6503,719670,713167
3290,truce,2314,719500,717186
3291,louise,1132547,719439,413108
3292,singularly,1640,719047,717407
3293,tempered,3074,719014,715940
3294,hanover,20503,719011,698508
3295,administer,5428,718819,713391
3296,displeasure,1297,718655,717358
3297,brooks,56907,718623,661716
3298,judgements,5798,718496,712698
3299,393,318904,718490,399586
3300,thorn,74572,718326,643754
3301,puritan,5246,718283,713037
3302,pathological,17043,718275,701232
3303,barbarians,3200,718186,714986
3304,franchise,1230553,718041,512512
3305,shakspeare,134032,717966,583934
3306,eg,82917,717915,634998
3307,amounting,5409,717909,712500
3308,contractor,7092,717797,710705
3309,suburbs,9754,717664,707910
3310,regis,662488,717583,55095
3311,legion,1437548,717503,720045
3312,compensate,6320,717465,711145
3313,lobe,525468,717437,191969
3314,commitments,7979,717433,709454
3315,pasha,18549,717382,698833
3316,spouse,6433,717347,710914
3317,alliances,849538,717277,132261
3318,1828,643781,717115,73334
3319,nero,34358,717023,682665
3320,barber,32336,717002,684666
3321,5.2,159651,716897,557246
3322,headache,4444,716846,712402
3323,digest,62559,716837,654278
3324,imposition,1020151,716741,303410
3325,clara,214629,716692,502063
3326,watts,129240,716670,587430
3327,combines,400357,716507,316150
3328,diminishing,5783,716498,710715
3329,recollections,9506,716419,706913
3330,alienation,1083937,716378,367559
3331,thankful,1615,716196,714581
3332,anniversary,13777,716196,702419
3333,intersection,501421,716100,214679
3334,humiliation,442078,715997,273919
3335,wretch,1005,715936,714931
3336,venous,9806,715927,706121
3337,4.5,155163,715639,560476
3338,telegram,11106,715637,704531
3339,curvature,7617,715554,707937
3340,dreaded,1158,715532,714374
3341,unfit,2912,715508,712596
3342,kinship,31274,715468,684194
3343,begging,2045,715419,713374
3344,waved,859,715237,714378
3345,affliction,193146,715019,521873
3346,herein,13473,714981,701508
3347,damn,3557,714940,711383
3348,royalty,6460,714841,708381
3349,groves,10365,714770,704405
3350,strained,2906,714698,711792
3351,sings,3350,714486,711136
